#
#   ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2
#   Standard Tables for Reference Solar Spectral Irradiances: Direct Normal and Hemispherical on 37-deg Tilted Surface (2003)
#
#   quantity  power
#   power units are W*m-2*nm-1
#
#   Extraterrestrial Radiation (solar spectrum at top of atmosphere) at mean Earth-Sun distance.
#
#   Global Tilt = spectral radiation from solar disk plus sky diffuse and diffuse reflected
#   from ground on south facing surface tilted 37 deg from horizontal 
#
#   Direct = Direct Normal Irradiance Nearly parallel (0.5 deg divergent cone) radiation
#   on surface with surface normal tracking (pointing to) the sun,
#   excluding scattered sky and reflected ground radiation
#
#   Circumsolar = Spectral irradiance within +/- 2.5 degree (5 degree diameter) field of view
#   centered on the 0.5 deg diameter solar disk, but excluding the radiation from the disk
#
#   http://rredc.nrel.gov/solar/spectra/am1.5/astmg173/astmg173.html

wavelength	Extraterrestrial	GlobalTilt	Direct.Circumsolar
280.0	8.2000E-02	4.7309E-23	2.5361E-26
280.5	9.9000E-02	1.2307E-21	1.0917E-24
281.0	1.5000E-01	5.6895E-21	6.1253E-24
281.5	2.1200E-01	1.5662E-19	2.7479E-22
282.0	2.6700E-01	1.1946E-18	2.8346E-21
282.5	3.0300E-01	4.5436E-18	1.3271E-20
283.0	3.2500E-01	1.8452E-17	6.7646E-20
283.5	3.2300E-01	3.5360E-17	1.4614E-19
284.0	2.9900E-01	7.2670E-16	4.9838E-18
284.5	2.5024E-01	2.4856E-15	2.1624E-17
285.0	1.7589E-01	8.0142E-15	8.9998E-17
285.5	1.5500E-01	4.2613E-14	6.4424E-16
286.0	2.4200E-01	1.3684E-13	2.3503E-15
286.5	3.3300E-01	8.3823E-13	1.8458E-14
287.0	3.6200E-01	2.7367E-12	7.2547E-14
287.5	3.3900E-01	1.0903E-11	3.6618E-13
288.0	3.1100E-01	6.2337E-11	2.8061E-12
288.5	3.2500E-01	1.7162E-10	9.0651E-12
289.0	3.9200E-01	5.6265E-10	3.4978E-11
289.5	4.7900E-01	2.0749E-09	1.5368E-10
290.0	5.6300E-01	6.0168E-09	5.1454E-10
290.5	6.0600E-01	1.3783E-08	1.3303E-09
291.0	6.1800E-01	3.5052E-08	3.8965E-09
291.5	5.9800E-01	1.0913E-07	1.4425E-08
292.0	5.6700E-01	2.6830E-07	4.0789E-08
292.5	5.2900E-01	4.2685E-07	7.0414E-08
293.0	5.3800E-01	8.6466E-07	1.5760E-07
293.5	5.4900E-01	2.2707E-06	4.7095E-07
294.0	5.3300E-01	4.1744E-06	9.4558E-07
294.5	5.2000E-01	6.5911E-06	1.5965E-06
295.0	5.2700E-01	1.2290E-05	3.2246E-06
295.5	5.5900E-01	2.7826E-05	8.0206E-06
296.0	5.7300E-01	4.7904E-05	1.4737E-05
296.5	5.2100E-01	7.1345E-05	2.3312E-05
297.0	4.7800E-01	9.6800E-05	3.3187E-05
297.5	5.2900E-01	1.8608E-04	6.7912E-05
298.0	5.2800E-01	2.8988E-04	1.1127E-04
298.5	4.6800E-01	3.5789E-04	1.4270E-04
299.0	4.7200E-01	4.9211E-04	2.0323E-04
299.5	5.0100E-01	8.6068E-04	3.7386E-04
